threshold,precision,recall,f1,accuracy,auc
0.0,0.06,1.0,0.12,0.06,0.98
0.06,0.5,0.78,0.61,0.94,0.98
0.11,0.5,0.78,0.61,0.94,0.98
0.17,0.54,0.78,0.64,0.94,0.98
0.22,0.5,0.67,0.57,0.94,0.98
0.28,0.5,0.67,0.57,0.94,0.98
0.33,0.5,0.67,0.57,0.94,0.98
0.39,0.55,0.67,0.6,0.94,0.98
0.44,0.55,0.67,0.6,0.94,0.98
0.5,0.55,0.67,0.6,0.94,0.98
0.56,0.55,0.67,0.6,0.94,0.98
0.61,0.6,0.67,0.63,0.95,0.98
0.67,0.6,0.67,0.63,0.95,0.98
0.72,0.67,0.67,0.67,0.96,0.98
0.78,0.75,0.67,0.71,0.97,0.98
0.83,0.86,0.67,0.75,0.97,0.98
0.89,0.86,0.67,0.75,0.97,0.98
0.94,0.86,0.67,0.75,0.97,0.98
1.0,0.0,0.0,0.0,0.94,0.98
