threshold,precision,recall,f1,accuracy,auc
0.0,0.06,1.0,0.12,0.06,0.99
0.06,0.45,1.0,0.62,0.92,0.99
0.11,0.62,0.89,0.73,0.96,0.99
0.17,0.8,0.89,0.84,0.98,0.99
0.22,0.8,0.89,0.84,0.98,0.99
0.28,0.8,0.89,0.84,0.98,0.99
0.33,0.89,0.89,0.89,0.99,0.99
0.39,0.89,0.89,0.89,0.99,0.99
0.44,0.89,0.89,0.89,0.99,0.99
0.5,0.88,0.78,0.82,0.98,0.99
0.56,0.88,0.78,0.82,0.98,0.99
0.61,0.88,0.78,0.82,0.98,0.99
0.67,0.86,0.67,0.75,0.97,0.99
0.72,0.86,0.67,0.75,0.97,0.99
0.78,1.0,0.56,0.71,0.97,0.99
0.83,1.0,0.56,0.71,0.97,0.99
0.89,1.0,0.22,0.36,0.95,0.99
0.94,0.0,0.0,0.0,0.94,0.99
1.0,0.0,0.0,0.0,0.94,0.99
