threshold,precision,recall,f1,accuracy,auc
0.0,0.06,1.0,0.12,0.06,1.0
0.06,0.89,0.89,0.89,0.99,1.0
0.11,0.88,0.78,0.82,0.98,1.0
0.17,0.88,0.78,0.82,0.98,1.0
0.22,0.88,0.78,0.82,0.98,1.0
0.28,0.88,0.78,0.82,0.98,1.0
0.33,0.88,0.78,0.82,0.98,1.0
0.39,0.88,0.78,0.82,0.98,1.0
0.44,0.88,0.78,0.82,0.98,1.0
0.5,0.88,0.78,0.82,0.98,1.0
0.56,0.88,0.78,0.82,0.98,1.0
0.61,0.88,0.78,0.82,0.98,1.0
0.67,0.88,0.78,0.82,0.98,1.0
0.72,0.88,0.78,0.82,0.98,1.0
0.78,0.88,0.78,0.82,0.98,1.0
0.83,0.88,0.78,0.82,0.98,1.0
0.89,0.83,0.56,0.67,0.97,1.0
0.94,0.83,0.56,0.67,0.97,1.0
1.0,0.0,0.0,0.0,0.94,1.0
