threshold,precision,recall,f1,accuracy,auc
0.0,0.06,1.0,0.12,0.06,0.96
0.06,0.06,1.0,0.12,0.06,0.96
0.11,0.06,1.0,0.12,0.06,0.96
0.17,0.06,1.0,0.12,0.06,0.96
0.22,0.08,1.0,0.15,0.3,0.96
0.28,0.19,1.0,0.32,0.74,0.96
0.33,0.71,0.56,0.62,0.96,0.96
0.39,0.0,0.0,0.0,0.94,0.96
0.44,0.0,0.0,0.0,0.94,0.96
0.5,0.0,0.0,0.0,0.94,0.96
0.56,0.0,0.0,0.0,0.94,0.96
0.61,0.0,0.0,0.0,0.94,0.96
0.67,0.0,0.0,0.0,0.94,0.96
0.72,0.0,0.0,0.0,0.94,0.96
0.78,0.0,0.0,0.0,0.94,0.96
0.83,0.0,0.0,0.0,0.94,0.96
0.89,0.0,0.0,0.0,0.94,0.96
0.94,0.0,0.0,0.0,0.94,0.96
1.0,0.0,0.0,0.0,0.94,0.96
